i,j,minutos
23,51,74
23,52,124
23,53,127
23,54,215
23,55,82
23,56,235
23,57,235
23,58,10
23,59,11
23,60,224
23,61,224
23,62,226
23,63,82
23,64,80
23,65,79
23,66,111
23,67,113
23,68,115
23,69,32
23,70,30
23,71,29
23,72,232
23,73,234
23,74,322
23,75,318
23,76,320
23,77,265
23,78,264
23,79,227
23,80,220
23,81,217
23,82,241
23,83,241
23,84,240
23,85,328
23,86,329
23,87,341
23,88,123
23,89,124
23,90,123
23,91,114
23,92,114
23,93,114
23,94,104
23,95,111
23,96,97
23,97,64
23,98,65
24,1,391
24,2,390
24,3,393
24,4,129
24,5,129
24,6,131
24,7,86
24,8,91
24,9,97
24,10,420
24,11,423
24,12,416
24,13,322
24,14,324
24,15,326
24,16,90
24,17,91
24,18,91
24,19,264
24,20,269
24,21,270
24,22,404
24,23,402
24,24,411
24,25,411
24,26,415
24,27,142
24,28,143
24,29,12183
24,30,12183
24,31,12182
24,32,161
24,33,158
24,34,157
24,35,173
24,36,174
24,37,175
24,38,169
24,39,169
24,40,210
24,41,210
